	address	name	title	График работы	Опыт работы	Сфера деятельности
0	Москва, м. Бульвар Дмитрия Донского, Старокачаловская улица	menedzher_-konsultant_951375511	Менеджер -консультант	полный день	не имеет значения	Продажи
1		ohrannik_v_tts_vodnyy_1201120983	Охранник в ТЦ Водный	сменный график	не имеет значения	Охрана, безопасность
2	Москва, м. Дмитровская, Складочная улица, 1с13	uborka_ofisa_1535259521	Уборка офиса			
3	"м. Охотный ряд,  
 Москва"	naborschik_zakazov_1502732417	Наборщик заказов	сменный график	более 1 года	Транспорт, логистика
4	Москва, м. Нахимовский проспект, Нахимовский проспект	voditel_taksi_1394522421	Водитель такси	сменный график	более 3 лет	Автомобильный бизнес
5		ohrannik_na_novyy_obekt_1172702846	Охранник на новый объект	вахтовый метод	не имеет значения	Охрана, безопасность
6	Москва, м. Электрозаводская, Большая Почтовая улица, 38с6	avtoelektrik-diagnost_1581735794	Автоэлектрик-диагност	полный день	более 1 года	Автомобильный бизнес
7	"м. Площадь революции,  
 Москва"	rabota_vahtoy_upakovschik_tsa_ikry_vahtapitanie_1590624880	Работа вахтой упаковщик (ца) икры вахта/питание	вахтовый метод	не имеет значения	Без опыта, студенты
8	"м. Братиславская,  
 ул. Братиславская д. 12"	prodavets_yuvelirnyh_izdeliy_metro_bratislavskaya_579930408	Продавец ювелирных изделий (метро Братиславская)	полный день	не имеет значения	Продажи
9	Москва, м. Новогиреево, природно-исторический парк Измайлово	trebuetsya_voditel_s_kategoriey_s_1678360959	Требуется водитель с категорией С			
10	Москва, м. Лесопарковая, метро Лесопарковая	povar_1623278214	Повар			
11	Замоскворецкая линия, Москва, м. Речной вокзал, метро Речной вокзал	barista_1557533837	Бариста	сменный график	не имеет значения	Туризм, рестораны
12	Москва, м. Новые Черемушки, улица Академика Пилюгина, 22к1	pomoschnik_vospitatelya_v_chastnyy_detskiy_sad_1657064319	Помощник воспитателя в частный детский сад	сменный график	более 1 года	Образование, наука
13	"м. Свиблово,  
 ул.Вересковая, 1 корп.1"	priglashaem_parikmahera_universala_774741722	Приглашаем парикмахера универсала	полный день	более 1 года	Фитнес, салоны красоты
14	Москва, м. Сходненская, МКАД, 71-й километр, с16А	menedzher_po_prodazham_avto_980889104	Менеджер по продажам авто			
15	Москва, м. Новослободская, Новослободская улица, 5с1	povar_-_kassir_rabotnik_restorana_990331057	Повар - кассир / Работник ресторана	сменный график	не имеет значения	Туризм, рестораны
16	Москва, м. Улица Горчакова, улица Горчакова, 11	ohrannik_968999481	Охранник			
17	Москва, м. Красные ворота, Мясницкая улица, 42	voditel_1519857585	Водитель	полный день	не имеет значения	Автомобильный бизнес
18	Москва, м. Алексеевская, Звездный бульвар, д.23 ( м.Алексеевская)	gruzchik-komplektovschik_1409244485	Грузчик-комплектовщик	сменный график	более 1 года	Транспорт, логистика
19	Москва, м. Солнцево, Солнцевский проспект, 24	prodavets_v_otdel_gastronomii_st.m._solntsevo_1462633778	Продавец в отдел гастрономии, ст.м. Солнцево	полный день	более 1 года	Продажи
20	"м. Площадь революции,  
 Москва"	kurer._ezhednevnye_vyplaty_1274301397	Курьер. Ежедневные выплаты	свободный график	не имеет значения	Без опыта, студенты
21	"м. Славянский бульвар,  
 ул.Герасима Курина дом 14, корп.2"	ohrannik_1637583950	Охранник			
22	Москва, м. Парк Победы, Кутузовский проспект	slesar-_mehanik_1354335341	Слесарь- механик	полный день	более 3 лет	Автомобильный бизнес
23		administrator_magazina_m.timiryazevskaya_993668742	Администратор магазина (м.Тимирязевская)	сменный график	более 1 года	Продажи
24	Москва, м. Калужская, метро Калужская	ekspeditor_1227449247	Экспедитор			
